,Id,groupId,matchId,assists,boosts,damageDealt,DBNOs,headshotKills,heals,killPlace,killPoints,kills,killStreaks,longestKill,matchDuration,matchType,maxPlace,numGroups,rankPoints,revives,rideDistance,roadKills,swimDistance,teamKills,vehicleDestroys,walkDistance,weaponsAcquired,winPoints,winPlacePerc,Total Distance,moving_group,weapon_group
200023,220883d461e032,96f42c4677e5d2,a09b90fa1ac78b,0,0,587.3,0,0,0,3,0,0,0,0.0,1808,solo,16,2,1500,0,0.0,0,0.0,0,0,0.0,5,0,0.0,0.0,<=10.00%,<=70.00%
208152,68bd97d3a19794,0fc8de1082beba,a332f93c6347d6,0,0,347.3,3,0,0,19,1557,2,2,24.09,1379,squad-fpp,27,27,0,0,0.0,0,0.0,0,0,29.37,1,1494,0.2308,29.37,<=10.00%,<=10.00%
217214,f043c238ef6bea,eab9b9c34741e8,8c43a919b90a79,0,0,352.4,0,0,0,15,0,0,0,0.0,1808,solo,15,2,1500,0,0.0,0,0.0,0,0,0.0,4,0,0.0,0.0,<=10.00%,<=60.00%
218282,08d921b59bccb1,4915c9d1fec15e,1ccaafb8664eb9,0,0,465.1,0,0,0,6,0,4,2,15.98,1821,solo,98,92,1504,0,0.0,0,0.0,0,0,35.32,1,0,0.1856,35.32,<=10.00%,<=10.00%
223942,32417b9b1177e0,1bf6cbb4964d9c,7b2de51ac5168c,0,0,396.0,0,0,0,15,0,0,0,0.0,1609,solo,19,1,1500,0,0.0,0,0.0,0,0,0.0,4,0,0.0,0.0,<=10.00%,<=60.00%
228009,64570ea6ddd233,56e9c0404dee82,7ca93693293885,1,0,381.9,3,2,0,20,0,2,1,8.1,1388,squad-fpp,27,27,1473,0,0.0,0,0.0,0,0,10.92,1,0,0.4231,10.92,<=10.00%,<=10.00%
241579,4ea86ad6f8faf1,68639d99ec881c,4ca5433ee59a0b,1,0,342.1,3,0,3,10,0,3,3,19.13,1778,duo-fpp,49,47,1516,1,0.0,0,0.0,0,0,42.15,2,0,0.125,42.15,<=10.00%,<=20.00%
248672,9b2bee55c5d97e,b3e3e4fcc81290,e75b4bcbfd2aa8,2,0,334.8,2,0,0,13,1739,3,3,9.672,1295,squad-fpp,29,27,-1,0,0.0,0,0.0,0,0,29.19,2,1487,0.1786,29.19,<=10.00%,<=20.00%
249311,d5da8f5ff71b6d,36286d96dbd0eb,01ad9ab6e931b8,0,0,396.8,0,0,0,14,0,0,0,0.0,1808,solo,17,2,1500,0,0.0,0,0.0,0,0,0.0,5,0,0.0,0.0,<=10.00%,<=70.00%
252701,b19a16d065bfc9,52a8d36f639df9,b47dad51604d5b,0,0,437.0,0,0,0,10,0,0,0,0.0,1808,solo,17,2,1500,0,0.0,0,0.0,0,0,0.0,2,0,0.0,0.0,<=10.00%,<=20.00%
261228,d7ac32a444ceec,30f90a8e10a9b5,43e2d9b1e8fce9,4,0,349.0,0,0,0,12,0,0,0,0.0,784,normal-solo-fpp,11,6,1500,0,0.0,0,0.0,0,0,0.0,6,0,0.9,0.0,<=10.00%,<=90.00%
267142,aa70fd56c69ed8,d080bed23b4470,40a593cfa78aed,0,0,340.4,2,0,0,17,0,2,2,11.19,1487,squad-fpp,28,26,1491,0,0.0,0,0.0,0,0,25.27,1,0,0.1481,25.27,<=10.00%,<=10.00%
275935,1403f5acf0bc1b,414eabd1621b45,1780ad1fc7996e,0,0,483.8,0,0,0,7,0,0,0,0.0,1808,solo,18,2,1500,0,0.0,0,0.0,0,0,0.0,5,0,0.0,0.0,<=10.00%,<=70.00%
284118,1a9e6406df845f,7aa8ba0a7774aa,d4c8317777b470,0,0,353.9,3,1,0,20,1051,2,1,4.954,1452,squad,29,29,-1,0,0.0,0,0.0,0,0,30.48,2,1450,0.0357,30.48,<=10.00%,<=20.00%
293346,2955132909513a,2f262a490fd36d,8b1af8b54b0edb,0,0,490.6,0,0,0,6,0,0,0,0.0,1808,solo,18,2,1500,0,0.0,0,0.0,0,0,0.0,3,0,0.0,0.0,<=10.00%,<=40.00%
302379,1109fdeed9cd54,177c31665ea5b6,aaccdd6417bc21,0,0,368.0,3,0,0,32,0,1,1,12.03,1289,squad-fpp,28,26,1500,0,0.0,0,0.0,0,0,35.75,1,0,0.0,35.75,<=10.00%,<=10.00%
302683,1dc38aebd702bd,c9d170c54e0ddb,9f916f679d50c6,0,1,445.0,0,0,1,7,0,0,0,0.0,1808,solo,17,2,1500,0,0.0,0,0.0,0,0,0.0,4,0,0.0,0.0,<=10.00%,<=60.00%
304071,bee1934b1f4773,141b2d98c52a6b,30b0db99a9b17c,0,0,400.0,3,0,0,7,0,4,4,2.914,1804,squad-fpp,27,27,1402,0,0.0,0,0.0,1,0,35.13,2,0,0.1154,35.13,<=10.00%,<=20.00%
305227,51a7a55b137978,b84478aa507b15,294254378504d5,0,0,391.0,0,0,0,3,0,0,0,0.0,1808,solo,18,2,1500,0,0.0,0,0.0,0,0,0.0,4,0,0.0,0.0,<=10.00%,<=60.00%
333869,3e42ec8502de57,6f585b07ef054f,3fea6018fba542,0,0,366.2,2,0,0,22,0,2,2,50.71,1186,duo-fpp,50,47,1475,0,0.0,0,0.0,0,0,11.85,1,0,0.0816,11.85,<=10.00%,<=10.00%
350397,7d2a2376b2b00b,447cf4def8fb39,0b0faaee5a98e9,0,0,337.5,3,1,0,24,0,2,2,10.74,1840,squad,26,26,1382,0,0.0,0,0.0,0,0,32.97,1,0,0.0,32.97,<=10.00%,<=10.00%
351457,bf77dd6cc26dbd,365d6ecdd9f9f7,445a37e3465fec,0,0,337.6,0,0,0,8,0,0,0,0.0,1808,solo,18,2,1500,0,0.0,0,0.0,0,0,0.0,5,0,0.0,0.0,<=10.00%,<=70.00%
353240,cfae67a3898461,2a99c42cc020dc,4a41a495d0dc58,0,0,359.9,0,0,0,18,0,0,0,0.0,1808,solo,18,2,1500,0,0.0,0,0.0,0,0,0.0,1,0,0.0,0.0,<=10.00%,<=10.00%
357222,5cc54a24eb6b92,4e0a67275c6954,42f14b3483d7b2,0,0,1115.0,0,0,0,2,0,0,0,0.0,1808,solo,17,2,1500,0,0.0,0,0.0,0,0,0.0,2,0,1.0,0.0,<=10.00%,<=20.00%
364888,3431fb3e9aa2ee,b31c3abf0e37c4,9ff97e7b092dae,0,0,408.4,2,2,0,4,0,4,2,13.6,1348,duo-fpp,49,48,1485,0,0.0,0,0.0,0,0,27.69,1,0,0.2083,27.69,<=10.00%,<=10.00%
371738,61ee321b3e3923,d2789c16b9ce99,6ce78034d8f100,0,0,917.1,0,0,0,15,0,0,0,0.0,1606,solo,19,1,1500,0,0.0,0,0.0,0,0,0.0,4,0,0.0,0.0,<=10.00%,<=60.00%
376245,01005865c9949c,0410219f76afc7,c839935ed743ad,0,0,369.1,3,0,0,42,0,1,1,11.48,1767,squad-fpp,28,28,1392,0,0.0,0,0.0,0,0,21.81,2,0,0.0,21.81,<=10.00%,<=20.00%
377586,a037ec6c67862c,668893c2deb277,990653af8e532c,2,0,388.7,0,0,0,44,1470,1,1,16.53,1391,solo-fpp,100,96,-1,0,0.0,0,0.0,0,0,30.48,1,1437,0.1818,30.48,<=10.00%,<=10.00%
387009,a1fcd1c8be2228,87b520de98dd6d,eae1670af29f15,0,0,482.1,0,0,0,10,0,0,0,0.0,1808,solo,18,2,1500,0,0.0,0,0.0,0,0,0.0,1,0,0.0,0.0,<=10.00%,<=10.00%
410687,6379381d3b8a9a,b40694fe2008ac,896f3369c36160,0,0,340.2,0,0,0,15,0,0,0,0.0,1803,solo,17,2,1500,0,0.0,0,0.0,0,0,0.0,1,0,0.0,0.0,<=10.00%,<=10.00%
427765,4519dcbe90184b,b4d53c320cc58f,01435d33376fd0,0,0,956.5,0,0,0,11,0,0,0,0.0,1808,solo,15,2,1500,0,0.0,0,0.0,0,0,0.0,1,0,0.0,0.0,<=10.00%,<=10.00%
438653,6a5797e6215297,2aac4e449b8322,99ca0bfa6d1868,1,0,342.9,0,1,1,22,1051,2,2,48.97,1413,solo-fpp,98,96,-1,0,0.0,0,0.0,0,0,12.79,1,1502,0.3299,12.79,<=10.00%,<=10.00%
457423,641f7d4243b3c9,0470b782aed4ad,2786062700ee33,0,0,1531.0,0,0,1,13,0,0,0,0.0,1808,solo,19,2,1500,0,0.0,0,0.0,0,0,0.0,3,0,0.0,0.0,<=10.00%,<=40.00%
457993,21f33826c39e47,9b7d53fce75c19,b6e5873aaa22e6,1,0,336.2,2,0,0,19,1740,2,2,36.39,1381,squad-fpp,29,28,-1,0,0.0,0,0.0,0,0,25.31,1,1656,0.0714,25.31,<=10.00%,<=10.00%
464987,53311b66762bb7,5cec6fa1b1086e,1b941d589533f3,0,0,515.2,0,0,0,9,0,0,0,0.0,1808,solo,16,2,1500,0,0.0,0,0.0,0,0,0.0,3,0,0.0,0.0,<=10.00%,<=40.00%
467165,39c87d5443e18e,dff6832813db15,d2d16e7e05b3d2,0,0,417.4,0,0,0,12,0,0,0,0.0,1512,solo,18,1,1500,0,0.0,0,0.0,0,0,0.0,5,0,0.0,0.0,<=10.00%,<=70.00%
467543,9545ec275b7345,da01511375a6ed,493e77e3463f12,0,0,667.6,0,0,0,6,0,0,0,0.0,1808,solo,16,2,1500,0,0.0,0,0.0,0,0,0.0,3,0,0.0,0.0,<=10.00%,<=40.00%
477208,1433f7c56adbfe,cce475a80fe633,960fcef8c33e13,0,0,380.1,0,0,0,14,0,0,0,0.0,1808,solo,16,2,1500,0,0.0,0,0.0,0,0,0.0,1,0,0.0,0.0,<=10.00%,<=10.00%
487738,d1e722641c3c20,82f6d8c7f6a763,b0ef753f6b88c6,0,0,353.6,3,0,0,6,0,4,4,9.062,1399,squad-fpp,28,27,1307,0,0.0,0,0.0,0,0,26.63,1,0,0.0741,26.63,<=10.00%,<=10.00%
493143,d3de2944e62cb8,b930f4989a1762,8ac9b7a71bde89,0,0,338.0,3,0,0,11,0,3,3,9.056,1978,squad,27,27,1507,0,0.0,0,0.0,0,0,41.71,2,0,0.0385,41.71,<=10.00%,<=20.00%
509043,5e399e5e097850,f603d46c0cf8e6,c62a9311ca6624,0,0,594.0,0,0,0,16,0,0,0,0.0,1808,solo,17,2,1500,0,0.0,0,0.0,0,0,0.0,3,0,0.0,0.0,<=10.00%,<=40.00%
513525,1bbe80ac150a6a,d4009ffa95bb4f,73f3ed869c9171,0,0,423.9,0,4,0,16,0,6,2,63.75,599,normal-squad-fpp,15,15,1500,0,0.0,0,0.0,0,0,0.0,4,0,0.8571,0.0,<=10.00%,<=60.00%
524443,8275e3d2dc8695,4b12676589b3ab,519ccfec17a205,0,0,345.8,0,0,0,14,0,0,0,0.0,1808,solo,20,2,1500,0,0.0,0,0.0,0,0,0.0,2,0,0.0,0.0,<=10.00%,<=20.00%
526837,1d67a66fea9f67,e1bb59564cae8f,a1df8b982127be,0,0,1495.0,0,0,0,10,0,0,0,0.0,1808,solo,19,2,1500,0,0.0,0,0.0,0,0,0.0,4,0,0.0,0.0,<=10.00%,<=60.00%
529507,66ab2765be2458,a60e1783c3e12a,abb511747bb90d,0,0,396.0,0,0,0,14,0,0,0,0.0,1808,solo,16,2,1500,0,0.0,0,0.0,0,0,0.0,1,0,0.0,0.0,<=10.00%,<=10.00%
530750,7a9b42fc3fd7a8,31c775646f0e44,181cf1b5e5babf,0,0,497.6,0,0,0,5,0,0,0,0.0,1808,solo,15,2,1500,0,0.0,0,0.0,0,0,0.0,6,0,0.0,0.0,<=10.00%,<=90.00%
556589,6c4306e9cd8bf4,261e76e07e244d,0595fc55c42cc4,0,0,465.3,4,2,0,11,1349,3,2,3.636,1449,squad,26,24,0,0,0.0,0,0.0,0,0,37.45,2,1557,0.4,37.45,<=10.00%,<=20.00%
576516,16d9c7ce471fef,9528400bfaccaa,4dbe0949a5f01f,1,0,444.6,3,1,0,37,1340,1,1,1.819,1260,squad-fpp,28,28,-1,0,0.0,0,0.0,0,0,39.36,1,1435,0.0,39.36,<=10.00%,<=10.00%
580134,3f37b60a05c1ea,b44935b8fd154b,2b71634d70b74e,0,0,660.1,0,0,0,14,0,0,0,0.0,1808,solo,17,2,1500,0,0.0,0,0.0,0,0,0.0,1,0,0.0,0.0,<=10.00%,<=10.00%
586011,ea0593909034fe,a9613d6ba62f2f,fd4868fe7adff1,0,0,361.5,3,0,0,49,0,1,1,18.63,1293,squad-fpp,30,29,1518,0,0.0,0,0.0,0,0,38.16,1,0,0.1724,38.16,<=10.00%,<=10.00%
587307,2411dfacf0e236,f1911311da9edc,de813651cb4ffb,0,0,397.5,0,0,0,13,0,0,0,0.0,1808,solo,19,2,1500,0,0.0,0,0.0,0,0,0.0,4,0,0.0,0.0,<=10.00%,<=60.00%
605171,be08099ad06770,2deedcc17c93fe,da97a70805a18e,0,0,351.1,2,1,0,9,0,3,2,36.0,1400,duo-fpp,49,45,1571,0,0.0,0,0.0,0,0,16.67,1,0,0.2917,16.67,<=10.00%,<=10.00%
616781,fe64675c71c506,960d25ae194db5,0b9be394186fcf,0,0,359.0,0,0,0,2,0,0,0,0.0,1808,solo,18,2,1500,0,0.0,0,0.0,0,0,0.0,3,0,1.0,0.0,<=10.00%,<=40.00%
620966,1c2bc6b366bb23,2c1cff24781a44,4b0868aed8d5d4,0,0,395.4,3,1,0,46,0,1,1,1.758,1322,squad-fpp,28,28,1487,0,0.0,0,0.0,0,0,38.58,1,0,0.0741,38.58,<=10.00%,<=10.00%
621823,6dde16ff73341b,72f68e1c0d818f,44174a6a189136,0,0,405.2,0,0,1,3,0,0,0,0.0,1808,solo,19,2,1500,0,0.0,0,0.0,0,0,0.0,3,0,0.0,0.0,<=10.00%,<=40.00%
623997,33982adccaa1b5,0f6007abba870b,3433e8e643688f,0,0,388.0,0,2,0,32,0,3,2,1.616,352,normal-squad-fpp,10,10,1500,0,0.0,0,0.0,0,0,0.0,6,0,0.4444,0.0,<=10.00%,<=90.00%
634339,ff4a7a63c3c156,cc07bd12c48900,16cb1290a8e72b,0,0,370.2,3,1,0,37,0,1,1,27.89,1290,squad-fpp,30,28,1461,0,0.0,0,0.0,0,0,20.83,1,0,0.0345,20.83,<=10.00%,<=10.00%
649587,2f6dda83ea59f5,1a0be3e1533054,a640e418b33d04,1,0,398.6,3,0,0,41,0,1,1,10.86,1393,squad-fpp,28,28,1399,0,0.0,0,0.0,0,0,14.27,1,0,0.0,14.27,<=10.00%,<=10.00%
650595,1f203fe6b31e4d,072ae013438240,c88e3f37f69211,0,0,586.7,0,0,0,12,0,0,0,0.0,1808,solo,16,2,1500,0,0.0,0,0.0,0,0,0.0,3,0,0.0,0.0,<=10.00%,<=40.00%
653882,0eecbf218f46f3,3dbc8f6647fad5,8754837629fdfc,5,0,828.6,0,0,0,12,1000,4,1,22.7,898,normal-squad-fpp,2,2,-1,0,0.0,0,0.0,1,0,0.0,5,1500,1.0,0.0,<=10.00%,<=70.00%
661381,37d0e41a475168,7cf4cb9c5d0335,6b40410be908eb,0,1,534.3,0,0,1,8,0,0,0,0.0,1808,solo,18,2,1500,0,0.0,0,0.0,0,0,0.0,4,0,0.0,0.0,<=10.00%,<=60.00%
663738,0c58aa6ffcecb8,998da99427d71d,ee2040b95cd3dc,0,0,333.7,0,0,0,12,0,0,0,0.0,1808,solo,18,2,1500,0,0.0,0,0.0,0,0,0.0,4,0,0.0,0.0,<=10.00%,<=60.00%
672909,3d0ce6aea05ea3,1999f24b52e45d,31b14ed08bf299,1,0,426.0,4,0,0,8,0,3,2,20.85,1355,squad,28,25,1422,0,0.0,0,0.0,0,0,39.59,1,0,0.1111,39.59,<=10.00%,<=10.00%
673249,f3060c6203bf87,bf45a47df1b5c1,50857272b98ea8,0,0,383.9,3,1,0,20,1430,2,2,32.33,1392,squad,27,23,-1,0,0.0,0,0.0,0,0,36.66,1,1403,0.0385,36.66,<=10.00%,<=10.00%
684368,e4e2c6bc8a2307,ce0aa490b9c914,d3b4b8ca431169,0,0,400.0,2,3,0,6,991,4,4,1.189,1887,squad-fpp,28,26,-1,0,0.0,0,0.0,0,0,22.82,0,1489,0.2222,22.82,<=10.00%,<=10.00%
693806,f6626aa316b469,db309271857978,36ba8957ba552a,0,0,504.6,0,0,0,11,0,0,0,0.0,1390,solo,18,1,1500,0,0.0,0,0.0,0,0,0.0,4,0,0.0,0.0,<=10.00%,<=60.00%
696103,2014d510ecf115,cfebe7f62082a5,2159c650131bcf,0,0,367.7,2,1,0,38,0,1,1,22.65,1307,squad-fpp,28,28,1340,0,0.0,0,0.0,0,0,12.33,2,0,0.0,12.33,<=10.00%,<=20.00%
700415,ff6c37f37c4af0,ea22dda36de8b3,7d9d4b051fd1be,0,0,355.5,0,0,0,11,0,0,0,0.0,1808,solo,16,2,1500,0,0.0,0,0.0,0,0,0.0,4,0,0.0,0.0,<=10.00%,<=60.00%
703690,7c3b1dabde7a7f,3bf6aa9604347c,970f264ecd0387,0,0,551.7,0,0,0,13,0,0,0,0.0,1808,solo,18,2,1500,0,0.0,0,0.0,0,0,19.64,2,0,0.0,19.64,<=10.00%,<=20.00%
704042,85e0dadc938891,54a4c560dbd3b3,ae4ffb22ffb279,0,0,361.9,0,2,0,16,0,3,3,56.47,1441,solo-fpp,97,97,1559,0,0.0,0,0.0,0,0,40.83,1,0,0.1562,40.83,<=10.00%,<=10.00%
714034,4b5123edff3cd3,90380164f3158b,c8b4c04f99659f,0,0,517.6,5,3,5,1,0,6,3,16.22,1369,squad-fpp,27,26,1377,0,0.0,0,0.0,0,0,41.26,2,0,0.1923,41.26,<=10.00%,<=20.00%
723059,2fdb7ec19c8bac,379009022de819,5764701a3de420,0,0,338.9,0,0,0,17,0,0,0,0.0,1808,solo,19,2,1500,0,0.0,0,0.0,0,0,0.0,1,0,0.0,0.0,<=10.00%,<=10.00%
736408,ce21146d25acb9,3ae86f7d01f098,09f61ff5e76d25,0,0,411.6,3,1,0,10,1671,3,3,7.146,1343,squad-fpp,27,27,-1,0,0.0,0,0.0,0,0,33.28,2,1573,0.1538,33.28,<=10.00%,<=20.00%
751864,0df661f928d414,fca7698a7b958d,b829fdd1fa54b6,0,0,1245.0,0,0,10,2,0,0,0,0.0,1506,solo,16,1,1500,0,0.0,0,0.0,0,0,0.0,4,0,0.0,0.0,<=10.00%,<=60.00%
760127,b1ae2c645990d1,2fe3e863b17531,806d1624076541,0,1,376.9,2,0,0,12,0,3,3,13.91,1895,squad,28,27,1265,0,0.0,0,0.0,0,0,35.53,2,0,0.0741,35.53,<=10.00%,<=20.00%
776773,2243467b564258,8e03caeedd282e,2e207f3eb5f5fc,0,0,383.3,2,2,0,13,0,3,2,20.74,1360,duo-fpp,49,48,1834,0,0.0,0,0.0,0,0,35.6,1,0,0.1667,35.6,<=10.00%,<=10.00%
782290,2f953458034532,17d56be34f75e0,7a22d63dadf28d,1,0,350.2,3,1,0,3,0,5,3,6.679,1893,duo-fpp,50,48,1392,1,0.0,0,0.0,0,0,32.44,1,0,0.1429,32.44,<=10.00%,<=10.00%
803018,11a2b40078563a,f2e145bf44440d,8430bd008e0da8,0,0,348.1,0,0,0,15,0,0,0,0.0,1808,solo,17,2,1500,0,0.0,0,0.0,0,0,0.0,1,0,0.0,0.0,<=10.00%,<=10.00%
810258,cd8249372c56c7,a05676c8954b9c,0a0914adadb064,0,0,375.2,0,0,0,3,0,0,0,0.0,1808,solo,17,2,1500,0,0.0,0,0.0,0,0,0.0,2,0,0.0,0.0,<=10.00%,<=20.00%
821691,35cb79c56f7d2f,82eadfeffa1d38,d012431c949b87,0,0,565.4,0,0,0,16,0,0,0,0.0,1808,solo,18,2,1500,0,0.0,0,0.0,0,0,0.0,1,0,0.0,0.0,<=10.00%,<=10.00%
822992,f970a8721fa775,1a92d1d3fdbf5a,d5b4951b8d2d80,0,0,479.3,0,0,0,7,0,0,0,0.0,1808,solo,18,2,1500,0,0.0,0,0.0,0,0,0.0,3,0,0.0,0.0,<=10.00%,<=40.00%
827301,f34534f5d10179,a07a3c341d8501,4d04e757068e81,0,0,358.1,3,2,0,15,1394,3,2,12.12,1424,squad,28,28,-1,0,0.0,0,0.0,0,0,40.42,1,1497,0.0,40.42,<=10.00%,<=10.00%
828283,945b7b8842bf4d,87cf69cb965c4f,76b65f026ac857,0,0,353.7,0,0,0,6,0,0,0,0.0,1808,solo,19,2,1500,0,0.0,0,0.0,0,0,0.0,6,0,0.0,0.0,<=10.00%,<=90.00%
846288,7ac12adab27d21,bf6a8f8a499ec2,76338bb042b757,0,0,365.0,0,0,0,9,0,0,0,0.0,1808,solo,17,2,1500,0,0.0,0,0.0,0,0,0.0,4,0,0.0,0.0,<=10.00%,<=60.00%
849054,4f0d73106a61b6,97a695c0f53a26,da4e4c7571a9ec,0,0,418.8,0,0,0,16,0,0,0,0.0,1808,solo,19,2,1500,0,0.0,0,0.0,0,0,0.0,2,0,0.0,0.0,<=10.00%,<=20.00%
849440,01ad91c6a77da7,1017b60fb17873,fc0bbecba8db99,4,6,1292.0,14,5,4,12,1000,16,3,194.3,1796,normal-squad-fpp,11,11,-1,0,0.0,0,0.0,0,0,0.0,6,1500,0.8,0.0,<=10.00%,<=90.00%
851233,472530214fa705,29c474f0f08767,37c4f3f6de7f9d,0,0,590.8,0,0,0,10,0,0,0,0.0,1808,solo,18,2,1500,0,0.0,0,0.0,0,0,0.0,4,0,0.0,0.0,<=10.00%,<=60.00%
